address_code,mountain_id
4211000000,2213100200
4272000000,2213100200
4277000000,2211050100
4276000000,2211050100
4889000000,2710070100
4888000000,2710070100
4784000000,2710070100
3171000000,1704060100
4782000000,1704060100
4827000000,1704060100
4163000000,2140140100
4180000000,2140140100
4148000000,2140140100
4577000000,2607102300
4671000000,2607102300
3020000000,2402020400
4415000000,2402020400
4423000000,2402020400
4425000000,2402020400
4272000000,2215064300
4276000000,2215064300
4272000000,2216100300
1162000000,1105040200
1154500000,1105040200
4117000000,1105040200
4129000000,1105040200
4725000000,2303020400
4372000000,2303020400
4884000000,2805090900
4315000000,2307050900
4380000000,2307050900
4719000000,2704390100
4785000000,2704390100
4715000000,2704390100
2641000000,2810040200
2632000000,2810040200
4833000000,2810040200
4691000000,2612140500
4713000000,2702090600
4711000000,2724130500
4777000000,2724130500
4518000000,2514380500
4577000000,2514380500
4423000000,2404170800
4471000000,2404170800
4571000000,2404170800
4280000000,2210050800
4281000000,2210050800
4376000000,2707010800
4728000000,2707010800
4481000000,2412050400
4573000000,2505040700
4574000000,2505040700
4873000000,2505040700
4888000000,2505040700
4223000000,2214180500
4219000000,2214180500
4380000000,2307083702
1132000000,1110010100
4115000000,1110010100
4163000000,1110010100
4682000000,2621041300
4217000000,2204151100
4223000000,2204151100
2871000000,1401990600
4572000000,2515021000
4278000000,2212010400
4165000000,2212010400
4182000000,2101021300
4511000000,2503060700
4521000000,2503060700
4571000000,2503060700
2911000000,2622132600
4671000000,2622132600
4679000000,2622132600
4812000000,2806020900
4822000000,2816111100
4374000000,2304021500
4573000000,2304021500
4715000000,2304021500
4688000000,2501100600
4579000000,2501100600
4518000000,2501100600
4281000000,2210011400
4276000000,2215081700
4273000000,2215081700
4275000000,2215081700
4577000000,2617051500
4688000000,2617051500
4623000000,2604100800
4673000000,2604100800
4277000000,2215034400
4276000000,2215034400
4165000000,2142141300
4279000000,2142141300
4580000000,2506112300
1130500000,1103030100
1129000000,1103030100
1111000000,1103030100
1138000000,1103030100
4128000000,1103030100
4163000000,1103030100
2771000000,1303011500
4782000000,1303011500
4211000000,2213142900
4471000000,2403011500
4373000000,2403011500
4579000000,2501121000
4221000000,2207010900
4281000000,2207010900
4283000000,2207010900
4794000000,2717030900
4721000000,2302011300
4380000000,2302011300
4125000000,2112130200
4165000000,2112130200
4725000000,2303021300
4372000000,2303021300
3171000000,1704041600
4882000000,2803010100
4276000000,2215072100
4272000000,2215072100
4215000000,2215072100
4211000000,2213103900
4279000000,2213103900
4183000000,2130103000
4279000000,2217011600
4211000000,2217011600
4782000000,2720052300
4827000000,2720052300
4182000000,2101062700
4165000000,2101062700
4572000000,2515042400
4571000000,2515042400
4315000000,2307083700
4683000000,2601072300
4681000000,2601072300
4182000000,2130093200
4183000000,2130093200
4223000000,2204113300
4793000000,2204113300
4574000000,2511992400
4827000000,2807063600
3171000000,2807063600
4573000000,2505061400
4283000000,2210012400
4281000000,2210012400
4615000000,2611193200
4775000000,2721022000
4777000000,2721022000
4728000000,2707083600
4519000000,2809040100
4885000000,2809040100
4673000000,2809040100
4886000000,2809040100
4887000000,2809040100
4822000000,2816132100
4680000000,2618021900
4136000000,2111091500
4833000000,2810181300
4374000000,2304053500
4471000000,2304053500
4792000000,2708013300
4671000000,2607102100
4577000000,2607102100
4136000000,2101033200
4182000000,2101033200
4213000000,2209132600
4273000000,2209132600
4275000000,2209132600
4479000000,2414022100
4219000000,2214211300
4792000000,2214211300
4275000000,2208064100
4380000000,2208064100
4772000000,1304461200
4723000000,1304461200
2714000000,1304461200
4272000000,2216075500
4677000000,2602132900
5011000000,2902194100
5013000000,2902194100
4182000000,2101023600
4279000000,2101023600
4874000000,2814140100
4889000000,2820020300
4886000000,2820020300
4887000000,2819072400
4715000000,2706133700
4728000000,2707040400
4728000000,2301072800
4376000000,2301072800
