region,mountain_id
GANGWON,2213100200
GANGWON,2211050100
GYEONGSANGNAMDO,2710070100
GYEONGSANGBUKDO,2710070100
GYEONGSANGNAMDO,1704060100
GYEONGSANGBUKDO,1704060100
SEOUL_GYEONGGI,2140140100
JEOLLABUKDO,2607102300
JEOLLANAMDO,2607102300
CHUNGCHEONGNAMDO,2402020400
GANGWON,2215064300
GANGWON,2216100300
SEOUL_GYEONGGI,1105040200
GYEONGSANGBUKDO,2303020400
CHUNGCHEONGBUKDO,2303020400
GYEONGSANGNAMDO,2805090900
CHUNGCHEONGBUKDO,2307050900
GYEONGSANGBUKDO,2704390100
GYEONGSANGNAMDO,2810040200
JEOLLANAMDO,2612140500
GYEONGSANGBUKDO,2702090600
GYEONGSANGBUKDO,2724130500
JEOLLABUKDO,2514380500
CHUNGCHEONGNAMDO,2404170800
JEOLLABUKDO,2404170800
GANGWON,2210050800
GYEONGSANGBUKDO,2707010800
CHUNGCHEONGBUKDO,2707010800
CHUNGCHEONGNAMDO,2412050400
JEOLLABUKDO,2505040700
GYEONGSANGNAMDO,2505040700
GANGWON,2214180500
CHUNGCHEONGBUKDO,2307083702
SEOUL_GYEONGGI,1110010100
JEOLLANAMDO,2621041300
GANGWON,2204151100
SEOUL_GYEONGGI,1401990600
JEOLLABUKDO,2515021000
GANGWON,2212010400
SEOUL_GYEONGGI,2212010400
SEOUL_GYEONGGI,2101021300
JEOLLABUKDO,2503060700
JEOLLANAMDO,2622132600
GYEONGSANGNAMDO,2806020900
GYEONGSANGNAMDO,2816111100
CHUNGCHEONGBUKDO,2304021500
JEOLLABUKDO,2304021500
GYEONGSANGBUKDO,2304021500
JEOLLANAMDO,2501100600
JEOLLABUKDO,2501100600
GANGWON,2210011400
GANGWON,2215081700
JEOLLABUKDO,2617051500
JEOLLANAMDO,2617051500
JEOLLANAMDO,2604100800
GANGWON,2215034400
SEOUL_GYEONGGI,2142141300
GANGWON,2142141300
JEOLLABUKDO,2506112300
SEOUL_GYEONGGI,1103030100
GYEONGSANGBUKDO,1303011500
GANGWON,2213142900
CHUNGCHEONGNAMDO,2403011500
CHUNGCHEONGBUKDO,2403011500
JEOLLABUKDO,2501121000
GANGWON,2207010900
GYEONGSANGBUKDO,2717030900
GYEONGSANGBUKDO,2302011300
CHUNGCHEONGBUKDO,2302011300
SEOUL_GYEONGGI,2112130200
GYEONGSANGBUKDO,2303021300
CHUNGCHEONGBUKDO,2303021300
GYEONGSANGNAMDO,1704041600
GYEONGSANGNAMDO,2803010100
GANGWON,2215072100
GANGWON,2213103900
SEOUL_GYEONGGI,2130103000
GANGWON,2217011600
GYEONGSANGBUKDO,2720052300
GYEONGSANGNAMDO,2720052300
SEOUL_GYEONGGI,2101062700
JEOLLABUKDO,2515042400
CHUNGCHEONGBUKDO,2307083700
JEOLLANAMDO,2601072300
SEOUL_GYEONGGI,2130093200
GANGWON,2204113300
GYEONGSANGBUKDO,2204113300
JEOLLABUKDO,2511992400
GYEONGSANGNAMDO,2807063600
JEOLLABUKDO,2505061400
GANGWON,2210012400
JEOLLANAMDO,2611193200
GYEONGSANGBUKDO,2721022000
GYEONGSANGBUKDO,2707083600
JEOLLABUKDO,2809040100
GYEONGSANGNAMDO,2809040100
GYEONGSANGNAMDO,2816132100
JEOLLANAMDO,2618021900
SEOUL_GYEONGGI,2111091500
GYEONGSANGNAMDO,2810181300
CHUNGCHEONGBUKDO,2304053500
CHUNGCHEONGNAMDO,2304053500
GYEONGSANGBUKDO,2708013300
JEOLLANAMDO,2607102100
JEOLLABUKDO,2607102100
SEOUL_GYEONGGI,2101033200
GANGWON,2209132600
CHUNGCHEONGNAMDO,2414022100
GANGWON,2214211300
GYEONGSANGBUKDO,2214211300
GANGWON,2208064100
CHUNGCHEONGBUKDO,2208064100
GYEONGSANGBUKDO,1304461200
GANGWON,2216075500
JEOLLANAMDO,2602132900
JEJU,2902194100
SEOUL_GYEONGGI,2101023600
GANGWON,2101023600
GYEONGSANGNAMDO,2814140100
GYEONGSANGNAMDO,2820020300
GYEONGSANGNAMDO,2819072400
GYEONGSANGBUKDO,2706133700
GYEONGSANGBUKDO,2707040400
GYEONGSANGBUKDO,2301072800
CHUNGCHEONGBUKDO,2301072800
